sexe,preusuel,annais,dpt,nombre
1,CAMILLE,2013,89,4
1,CAMILLE,2013,91,7
1,CAMILLE,2013,92,25
1,CAMILLE,2013,93,6
1,CAMILLE,2013,94,17
1,CAMILLE,2013,95,9
1,CAMILLE,2013,974,3
1,CAMILLE,2014,01,6
1,CAMILLE,2014,03,10
1,CAMILLE,2014,05,5
1,CAMILLE,2014,06,13
1,CAMILLE,2014,07,5
1,CAMILLE,2014,08,4
1,CAMILLE,2014,11,3
1,CAMILLE,2014,13,28
1,CAMILLE,2014,14,15
1,CAMILLE,2014,16,8
1,CAMILLE,2014,17,14
1,CAMILLE,2014,18,3
1,CAMILLE,2014,19,3
1,CAMILLE,2014,21,8
1,CAMILLE,2014,22,9
1,CAMILLE,2014,25,10
1,CAMILLE,2014,26,8
1,CAMILLE,2014,29,9
1,CAMILLE,2014,30,11
1,CAMILLE,2014,31,30
1,CAMILLE,2014,33,32
1,CAMILLE,2014,34,13
1,CAMILLE,2014,35,24
1,CAMILLE,2014,36,3
1,CAMILLE,2014,37,10
1,CAMILLE,2014,38,13
1,CAMILLE,2014,39,8
1,CAMILLE,2014,41,3
1,CAMILLE,2014,42,14
1,CAMILLE,2014,44,30
1,CAMILLE,2014,45,7
1,CAMILLE,2014,47,9
1,CAMILLE,2014,48,3
1,CAMILLE,2014,49,18
1,CAMILLE,2014,50,5
1,CAMILLE,2014,51,17
1,CAMILLE,2014,52,4
1,CAMILLE,2014,53,3
1,CAMILLE,2014,54,10
1,CAMILLE,2014,55,3
1,CAMILLE,2014,56,9
1,CAMILLE,2014,57,12
1,CAMILLE,2014,58,3
1,CAMILLE,2014,59,32
1,CAMILLE,2014,60,6
1,CAMILLE,2014,61,5
1,CAMILLE,2014,62,16
1,CAMILLE,2014,63,17
1,CAMILLE,2014,64,9
1,CAMILLE,2014,66,7
